Company_Name,Industry,Company_Age_Years,Annual_Revenue,Revenue_Growth_Pct,Profit_Margin_Pct,Debt_to_Equity,Current_Ratio,ROE_Pct,Market_Share_Pct,Customer_Growth_Pct,Customer_Retention_Pct,Management_Experience_Years,Business_Risk,Market_Risk,Expected_ROI_Pct,Investment_Amount,Industry_Growth_Pct,Investment_Decision
Company_00055,Energy,30,45186575.0,5.16,9.2,0.87,0.9,11.78,10.39,2.65,89.69,16.4,Medium,Low,20.37,8715540.0,10.93,Yes
Company_00056,Real Estate,18,7636416.0,4.18,1.96,0.45,2.03,-3.83,5.66,-0.75,77.87,14.0,High,Low,9.82,500000.0,11.81,No
Company_00057,Technology,28,27255272.0,16.05,6.36,0.76,1.85,5.07,15.48,11.87,81.88,23.3,Medium,Low,15.23,2430090.0,14.97,Yes
Company_00058,Healthcare,3,64378046.0,-3.85,2.51,1.51,1.91,3.96,4.41,-1.0,80.59,11.2,High,Low,6.61,9856228.0,11.09,No
Company_00059,Technology,14,31801730.0,17.26,10.14,1.91,1.09,17.27,5.78,11.13,88.82,9.6,High,Low,14.6,9265552.0,13.66,Yes
Company_00060,Financial Services,2,113903685.0,3.8,8.71,0.86,1.78,2.53,8.83,-1.59,94.51,6.6,Medium,Low,5.54,26272746.0,12.93,No
Company_00061,Retail,27,13295425.0,14.66,4.69,0.37,1.53,-5.47,13.54,26.15,70.48,14.4,High,Medium,16.66,1129302.0,9.68,No
Company_00062,Financial Services,29,88887667.0,15.07,8.25,0.63,2.34,21.18,1.51,28.27,78.59,17.0,Medium,Low,15.36,14459036.0,10.77,Yes
Company_00063,Automobile,20,108725818.0,15.41,5.43,0.28,1.76,12.84,7.0,23.38,85.14,20.8,Medium,Low,18.51,20161826.0,12.89,Yes
Company_00064,Retail,12,112735572.0,16.27,5.4,0.64,1.43,3.96,2.87,16.47,72.13,10.8,Medium,Low,15.37,16930182.0,10.21,Yes
Company_00065,Financial Services,6,13210937.0,12.91,15.51,1.27,1.14,19.43,4.82,21.75,68.09,12.2,Medium,Medium,12.27,1221167.0,8.48,Yes
Company_00066,Manufacturing,2,65326180.0,8.91,2.0,0.35,2.28,2.77,3.53,14.12,78.14,9.3,High,Medium,9.73,13930657.0,7.96,No
Company_00067,Healthcare,21,28320389.0,30.86,14.16,0.67,2.3,21.03,1.16,21.17,75.8,13.4,Low,Low,27.78,4877316.0,15.05,Yes
Company_00068,Automobile,14,15131852.0,17.88,19.42,0.48,2.84,22.29,9.94,26.84,85.95,9.7,Low,Low,17.96,4324981.0,12.13,Yes
Company_00069,Technology,9,35171477.0,26.06,18.76,2.01,1.42,17.69,2.13,20.55,77.16,9.9,High,Low,27.35,7961197.0,17.66,No
Company_00070,Real Estate,7,23168456.0,24.2,14.45,0.93,1.17,22.55,4.78,23.12,86.53,8.7,Medium,Low,17.7,1924367.0,13.69,Yes
Company_00071,Automobile,30,109361718.0,21.58,11.67,1.2,1.63,27.3,4.66,25.4,93.67,22.2,Medium,Low,18.27,13169674.0,13.91,Yes
Company_00072,Healthcare,18,77333470.0,31.76,17.67,0.88,1.35,26.5,2.98,35.53,99.0,13.3,Low,Low,32.12,12647255.0,14.32,Yes
Company_00073,Technology,13,18773479.0,17.65,12.73,1.14,1.36,18.09,7.57,21.95,83.67,14.5,Medium,Low,18.91,3560231.0,13.48,Yes
Company_00074,Automobile,2,27016151.0,8.02,15.88,1.36,1.94,19.97,3.94,17.2,73.48,4.9,Medium,High,20.5,5179030.0,5.07,No
Company_00075,FMCG,4,36177240.0,5.29,7.5,0.77,2.35,6.89,3.14,8.91,89.92,7.9,Medium,Medium,16.24,5908553.0,6.84,No
Company_00076,FMCG,15,47015561.0,11.47,14.53,0.56,2.0,17.26,,14.42,82.14,9.8,Low,Low,2.55,12645311.0,10.26,Yes
Company_00077,Automobile,27,117618289.0,12.36,8.09,0.45,1.85,14.66,2.74,23.56,82.38,13.0,Medium,Low,10.8,17384289.0,14.48,Yes
Company_00078,Technology,9,89944066.0,24.99,21.97,1.97,2.05,35.38,6.58,26.52,86.73,7.3,High,Low,31.39,21896916.0,17.25,Yes
Company_00079,Retail,12,52232566.0,9.12,8.2,1.18,1.57,19.82,1.36,10.43,71.14,12.9,Medium,Low,8.81,7178712.0,12.51,Yes
Company_00080,Technology,28,40063732.0,18.78,3.04,0.22,2.61,7.51,14.88,23.47,71.71,22.7,High,Low,18.18,4869337.0,15.26,Yes
Company_00081,Telecommunications,15,11074798.0,15.79,10.86,0.66,3.41,16.61,4.53,29.79,87.2,12.3,Low,Medium,21.58,1511535.0,8.87,Yes
Company_00082,Energy,9,149937867.0,14.52,14.02,0.94,1.38,19.43,2.84,12.39,77.33,11.4,Medium,Low,23.48,32866565.0,10.47,Yes
Company_00083,Financial Services,30,34191973.0,1.79,15.54,1.88,2.28,24.29,7.36,-6.51,83.01,18.5,High,High,8.15,4974046.0,5.06,No
Company_00084,Technology,4,187473445.0,22.65,7.0,0.41,2.46,11.34,3.81,24.59,81.91,6.4,Medium,Low,22.45,18486629.0,14.76,Yes
Company_00085,Financial Services,8,59069570.0,16.25,1.85,0.95,2.02,5.52,8.92,26.63,89.72,12.9,High,Low,18.55,11371184.0,13.85,Yes
Company_00086,Financial Services,29,279643222.0,-5.29,8.32,0.6,2.48,7.41,2.51,0.22,90.3,22.9,Medium,Low,0.49,24626455.0,11.82,No
Company_00087,FMCG,20,83713170.0,0.53,9.44,0.39,1.99,8.56,2.63,-0.56,79.67,19.2,Medium,High,14.31,16394523.0,4.41,Yes
Company_00088,Energy,5,14802651.0,13.52,2.92,1.57,2.01,2.21,7.36,15.56,87.44,10.8,High,High,17.51,2814738.0,0.71,Yes
Company_00089,Telecommunications,26,29659125.0,19.29,9.6,0.44,1.83,15.48,10.89,15.39,81.43,16.8,Medium,High,18.29,8730688.0,5.9,Yes
Company_00090,Manufacturing,17,43304575.0,16.47,9.2,1.28,1.76,11.74,5.68,7.77,91.55,11.9,Medium,Medium,19.8,4116031.0,9.79,Yes
Company_00091,Technology,14,23791005.0,21.84,15.92,0.31,2.15,36.8,5.81,22.13,69.97,7.3,Low,Low,26.57,7118242.0,13.35,Yes
Company_00092,FMCG,21,36289241.0,5.98,6.25,0.57,2.0,12.51,2.91,2.01,83.98,21.3,Medium,Medium,7.84,3155973.0,8.43,No
Company_00093,Automobile,20,15644583.0,11.7,7.4,1.03,1.14,20.93,3.58,11.82,77.12,10.5,Medium,Low,19.65,4093820.0,10.52,Yes
Company_00094,Manufacturing,6,50243747.0,23.66,12.78,1.11,1.99,26.6,3.26,16.73,87.32,8.8,Medium,Low,30.14,13172486.0,12.01,Yes
Company_00095,Automobile,24,61180173.0,7.91,1.85,0.95,1.59,7.68,11.6,20.25,78.6,12.0,High,High,22.28,6652918.0,1.93,No
Company_00096,Manufacturing,6,21296229.0,9.51,18.6,1.29,1.38,24.14,12.35,17.2,83.06,11.9,Medium,Medium,14.52,1476178.0,6.06,Yes
Company_00097,Manufacturing,21,260144997.0,10.78,14.04,0.64,2.3,13.75,7.01,9.58,77.13,16.6,Low,Medium,20.84,26508179.0,9.09,Yes
Company_00098,Retail,25,52773506.0,21.94,8.32,1.61,1.13,8.95,18.48,24.22,59.29,21.2,High,Low,17.44,7435605.0,10.72,No
Company_00099,Technology,5,24972951.0,28.32,7.64,0.91,1.58,16.83,7.47,36.69,92.91,8.9,Medium,Low,15.13,3976124.0,17.47,Yes
Company_00100,Technology,3,12514833.0,24.96,7.29,1.12,1.12,13.0,10.78,28.81,67.26,9.4,Medium,Low,18.96,2628631.0,17.42,Yes
Company_00101,Technology,27,52613591.0,,13.96,0.92,1.51,15.2,4.34,18.23,72.97,19.2,Medium,Low,19.94,10568562.0,14.85,Yes
Company_00102,Energy,14,40069192.0,7.52,3.6,0.98,3.04,5.9,4.51,12.35,83.16,16.1,High,Medium,9.32,9520784.0,7.02,No
Company_00103,Financial Services,17,97281397.0,16.67,9.42,0.43,1.37,15.81,4.52,17.09,84.89,14.7,Medium,Medium,11.8,21849791.0,8.82,Yes
Company_00104,Manufacturing,23,44263406.0,7.59,0.22,0.45,1.7,3.4,2.72,8.73,87.34,19.3,High,Low,12.83,2483426.0,12.3,No
Company_00105,Telecommunications,3,18126266.0,0.98,9.92,0.56,2.54,12.98,3.75,13.46,81.81,13.4,Medium,High,20.97,4373296.0,4.24,No
Company_00106,Financial Services,20,206878892.0,6.39,11.3,1.0,1.96,15.67,6.19,10.96,88.77,12.6,Medium,Low,10.6,38969100.0,13.55,No
Company_00107,Retail,18,72407085.0,21.27,10.76,0.54,1.7,0.88,3.39,22.8,88.26,11.9,Low,Medium,20.26,20706650.0,9.62,Yes
Company_00108,Automobile,6,40287071.0,6.82,9.47,0.64,1.38,14.0,7.18,2.85,66.19,12.4,Medium,Medium,12.01,4873904.0,8.86,No
Company_00109,Healthcare,26,57510397.0,16.86,14.69,0.72,2.12,13.54,3.09,22.1,82.31,18.4,Low,Low,21.6,7773324.0,11.03,Yes
Company_00110,Technology,19,74810531.0,14.05,10.93,1.64,1.47,17.75,3.0,22.27,75.88,15.4,High,Low,14.87,10613062.0,11.93,Yes
Company_00111,Financial Services,29,14842503.0,32.34,18.02,1.04,2.91,24.53,5.04,41.26,98.06,21.0,Medium,Medium,26.81,3119310.0,9.06,Yes
Company_00112,Healthcare,24,57171933.0,18.1,5.14,0.34,1.64,13.4,1.33,35.49,76.27,17.5,Medium,Low,21.75,7681700.0,12.01,Yes
Company_00113,Real Estate,22,34104115.0,-9.14,6.88,0.82,2.67,15.46,10.08,-13.02,82.79,11.1,Medium,High,9.86,4331196.0,0.89,No
Company_00114,Automobile,19,76955551.0,19.64,12.29,0.63,2.25,27.45,7.91,9.62,69.79,15.3,Low,Medium,27.64,7374794.0,8.41,Yes
Company_00115,Energy,9,26652111.0,11.06,15.44,0.66,2.24,8.86,8.5,19.06,78.75,6.8,Low,Low,13.93,3648196.0,10.77,Yes
Company_00116,Telecommunications,28,29905022.0,10.3,9.42,0.75,1.66,13.07,8.11,5.1,80.78,20.2,Medium,Medium,10.56,6801749.0,8.7,Yes
Company_00117,Automobile,16,205503577.0,5.8,7.79,1.39,1.42,-0.28,4.64,0.86,66.6,14.6,Medium,Medium,0.81,26487461.0,7.51,No
Company_00118,Healthcare,14,142351348.0,17.51,8.07,0.48,1.64,15.22,5.86,22.85,,13.3,Medium,Low,15.27,33006313.0,13.14,Yes
Company_00119,Telecommunications,14,3036775.0,9.61,16.57,0.84,2.31,21.05,6.44,13.49,83.54,11.9,Low,High,11.72,500000.0,5.33,Yes
Company_00120,Manufacturing,17,133656181.0,8.93,-2.82,0.88,2.02,-3.06,1.95,7.08,87.71,19.9,High,Low,10.62,30535089.0,10.45,No
Company_00121,Automobile,23,46965758.0,13.06,12.43,0.66,0.73,18.9,5.7,10.13,87.56,23.1,Low,Low,14.58,12745566.0,13.62,Yes
Company_00122,Telecommunications,21,27386995.0,13.61,9.89,0.53,1.07,8.06,3.91,15.81,81.5,10.1,Medium,Medium,4.54,1618587.0,9.91,No
Company_00123,Financial Services,14,21240813.0,-0.84,5.9,0.5,1.71,20.87,16.61,-1.72,81.44,10.9,Medium,Low,-0.06,2940289.0,12.56,Yes
Company_00124,Technology,21,22315311.0,7.43,6.99,0.6,2.06,9.57,4.41,10.17,70.48,20.6,Medium,Low,7.78,3212464.0,14.52,No
Company_00125,Healthcare,3,28052492.0,29.94,13.31,1.13,1.58,18.76,4.61,25.94,69.8,10.4,Medium,Low,21.64,5425599.0,15.25,Yes
Company_00126,Retail,4,19181769.0,9.23,11.42,0.62,1.49,15.37,2.26,5.96,79.63,7.0,Low,High,25.0,3383010.0,3.94,Yes
Company_00127,Automobile,16,15809536.0,7.57,4.69,0.71,1.21,13.93,3.88,0.29,68.69,16.8,High,Medium,11.1,3498886.0,8.24,No
Company_00128,Telecommunications,24,20649681.0,-0.12,7.65,0.4,2.29,4.58,1.27,4.08,60.12,14.5,Medium,Medium,8.88,1061297.0,8.75,No
Company_00129,Technology,20,65818949.0,20.83,13.34,0.58,1.83,23.31,16.74,18.94,79.4,12.9,Low,Low,17.07,18448574.0,18.22,Yes
Company_00130,Manufacturing,14,52174801.0,21.91,7.05,0.85,2.66,8.0,7.31,28.28,79.41,12.3,Medium,Low,14.33,10140984.0,12.01,Yes
Company_00131,Retail,6,80198193.0,31.36,16.42,0.3,1.09,18.82,3.94,20.15,77.17,10.2,Low,Medium,28.16,17461136.0,9.88,Yes
Company_00132,Healthcare,27,47257371.0,28.66,15.1,1.33,2.06,25.64,6.94,22.34,86.13,19.5,Medium,Low,28.53,6552192.0,12.41,Yes
Company_00133,Technology,23,16466789.0,14.41,6.17,0.54,2.08,8.49,2.68,15.36,84.78,17.2,Medium,Low,24.83,1795824.0,17.61,No
Company_00134,Financial Services,7,76118991.0,7.67,2.75,1.98,2.07,9.84,4.44,5.61,82.76,9.6,High,Medium,12.42,16884523.0,8.14,No
Company_00135,Real Estate,15,21285735.0,-1.83,2.54,0.94,2.18,9.71,2.43,-6.32,75.72,12.2,High,High,4.09,5768104.0,5.47,No
Company_00136,Financial Services,5,86629912.0,8.29,9.5,0.27,1.53,11.83,1.85,8.61,76.04,7.1,Medium,Low,14.49,8489694.0,11.19,No
Company_00137,Manufacturing,23,18559671.0,12.03,9.27,0.87,1.64,15.05,8.22,12.31,70.36,16.4,Medium,Low,18.38,5374196.0,10.52,Yes
Company_00138,FMCG,20,27873262.0,2.95,14.62,0.63,1.86,16.91,4.67,10.18,77.8,16.0,Low,High,15.17,2709444.0,2.52,Yes
Company_00139,Retail,24,36775803.0,27.75,11.27,0.88,1.18,15.84,1.62,31.34,88.82,14.4,Low,Low,22.62,6399830.0,10.37,Yes
Company_00140,Real Estate,8,88700638.0,4.11,3.46,1.82,2.19,9.82,2.92,12.87,77.59,5.5,High,Low,9.86,10879498.0,10.32,No
Company_00141,Real Estate,5,58068344.0,10.45,12.58,1.11,0.45,11.73,11.68,21.66,80.77,8.5,Medium,Medium,16.25,12048791.0,7.77,Yes
Company_00142,Financial Services,3,50857323.0,6.68,3.57,0.66,1.12,9.75,3.12,4.88,81.07,7.9,High,Low,6.77,3961347.0,18.12,No
Company_00143,Manufacturing,28,248350604.0,13.27,5.96,0.35,0.88,11.77,7.49,21.88,79.32,17.6,Medium,Medium,3.97,12491658.0,7.95,Yes
Company_00144,Financial Services,8,10491730.0,3.52,3.89,1.21,2.3,-1.46,3.1,10.77,73.18,8.0,High,Medium,8.91,2558144.0,9.92,No
Company_00145,Financial Services,4,20684860.0,20.53,-3.47,0.99,1.84,-5.47,5.86,22.29,81.5,8.3,High,Medium,18.68,5314011.0,9.81,Yes
Company_00146,Technology,16,19945684.0,16.73,,1.42,1.38,14.39,7.03,21.89,83.17,13.1,Medium,Low,9.57,3523685.0,15.77,Yes
Company_00147,Energy,2,11100260.0,0.2,11.74,0.69,1.81,13.84,3.25,3.36,82.45,6.7,Low,Medium,6.12,1884151.0,7.01,Yes
Company_00148,Manufacturing,3,27124338.0,-5.94,10.28,0.88,1.88,9.08,4.58,-4.29,93.93,13.2,Low,High,-5.0,1803857.0,5.78,No
Company_00149,Technology,11,89713997.0,10.51,18.74,0.65,1.08,30.19,6.11,14.06,80.74,5.5,Low,Low,12.69,23380042.0,14.36,Yes
Company_00150,Financial Services,17,30238705.0,15.38,17.92,0.79,,29.97,3.46,19.34,84.33,9.8,Low,Low,10.54,7536321.0,10.71,Yes
Company_00151,Telecommunications,26,37674010.0,16.64,8.99,0.33,2.56,8.61,4.36,24.76,75.37,17.2,Medium,Low,3.54,9680651.0,10.69,No
Company_00152,Healthcare,29,11563475.0,19.12,16.75,0.89,2.59,15.34,2.71,14.86,82.23,21.2,Low,Low,14.35,1257547.0,19.61,Yes
Company_00153,Healthcare,16,25405769.0,26.49,12.34,0.93,2.2,17.11,5.35,33.06,74.61,11.1,Medium,Low,18.77,4794634.0,17.01,Yes
Company_00154,Manufacturing,25,33770211.0,2.72,5.47,0.57,1.91,17.27,10.06,-2.18,67.35,13.7,Medium,Medium,7.06,8665970.0,7.67,No
Company_00155,Real Estate,16,86320176.0,-11.58,0.68,1.05,2.22,16.7,2.35,-10.08,67.42,12.7,High,High,-1.32,10639995.0,5.91,No
Company_00156,Financial Services,15,12041320.0,15.5,9.07,1.21,2.08,9.39,3.16,19.07,80.88,12.2,Medium,Low,14.67,3214996.0,10.52,No
Company_00157,FMCG,23,33962792.0,25.38,14.23,1.62,1.03,5.71,1.32,12.31,68.98,11.2,High,Low,29.13,7090711.0,13.35,Yes
Company_00158,Automobile,15,125941603.0,20.6,19.44,0.43,1.29,16.43,6.97,20.85,83.78,14.0,Low,Medium,17.78,19888812.0,8.5,Yes
Company_00159,Healthcare,7,34250536.0,2.92,11.29,1.08,2.06,5.28,1.77,7.59,78.99,8.7,Medium,Medium,17.66,5084958.0,9.02,Yes
Company_00160,FMCG,15,8279609.0,5.68,4.39,1.57,1.28,10.55,6.93,7.03,68.58,14.3,High,Medium,17.75,2060207.0,6.5,No
Company_00161,Retail,18,148312631.0,19.34,6.03,0.62,1.2,10.52,7.24,15.83,78.79,15.4,Medium,Low,14.66,41927612.0,11.27,No
Company_00162,Energy,19,93380767.0,8.68,11.75,1.62,2.36,17.82,9.03,15.03,76.98,7.8,High,Low,6.12,5230640.0,10.07,Yes
Company_00163,Energy,21,104690733.0,11.14,13.96,0.5,1.81,25.81,6.35,8.39,86.03,15.3,Low,Medium,16.99,7363563.0,7.4,Yes
Company_00164,Manufacturing,20,11356689.0,10.04,,0.78,1.71,30.42,1.87,13.28,73.34,14.7,Low,Low,22.7,3209235.0,12.05,Yes
Company_00165,Technology,18,180839586.0,4.55,6.66,0.29,1.14,15.71,4.59,5.89,89.19,12.7,Medium,Medium,-2.41,50122944.0,9.18,Yes
Company_00166,Automobile,17,25912833.0,6.04,10.68,0.27,1.56,19.69,5.68,7.52,76.58,14.5,Low,Medium,10.85,7157391.0,9.31,Yes
Company_00167,Financial Services,9,32427275.0,23.27,16.4,0.32,1.61,13.01,7.07,26.29,79.29,9.0,Low,Low,22.0,9603294.0,13.58,Yes
Company_00168,Healthcare,8,27513104.0,13.6,3.24,1.64,1.15,3.67,7.25,11.88,64.29,7.5,High,Low,21.22,7231082.0,10.5,No
Company_00169,Technology,21,111823262.0,25.39,13.98,0.49,1.11,27.38,3.79,32.83,56.68,14.7,Low,Low,12.45,7839297.0,13.49,Yes
Company_00170,Energy,29,42913841.0,9.04,13.51,0.49,2.74,15.24,4.66,6.17,76.12,16.6,Low,High,15.98,7463602.0,2.4,Yes
Company_00171,FMCG,13,75301713.0,27.01,15.5,0.94,2.5,27.45,4.69,34.04,69.53,12.1,Medium,Low,25.89,14089148.0,12.77,Yes
Company_00172,Technology,10,53332125.0,22.57,11.56,0.5,1.72,17.04,2.2,22.34,73.01,8.8,Low,Low,15.36,14099345.0,13.84,Yes
